Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Fuel Metering Sys Desc,Air Aspiration Method Desc,Trans Desc,Cyl Deact?,Var Valve Lift?
5.0,8,24.938000000000002,10,15.0,2,2,Spark Ignition direct & ported injection,Naturally Aspirated,XXXXX,N,N
3.0,6,24.1704,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automatic,,N
5.0,8,19.3331,8,15.0,2,2,Spark Ignition Direct Injection,Supercharged,XXXXX,,N
,4,46.8427,8,15.0,2,2,Spark Ignition direct & ported injection,Naturally Aspirated,Semi-Automatic,   ,N
3.5,6,24.559,10,15.0,2,2,Spark Ignition direct & ported injection,Turbocharged,XXXXX,   ,N
,6,27.1795,6,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,,Y
1.6,4,37.063,7,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual,   ,N
2.0,4,36.713,8,10.0,2,2,unknown,Turbocharged,Semi-Automatic,N,Y
2.5,4,29.7393,6,15.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Semi-Automatic,   ,N
2.4,4,33.2006,6,15.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,   ,N
,6,24.7122,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),N,Y
,4,23.8601,6,10.0,2,2,Multipoint/sequential fuel injection,Turbocharged,Manual,N,N
1.5,3,43.2396,6,10.0,2,2,unknown,Turbocharged,Manual,N,Y
4.4,8,20.4771,7,10.0,2,2,unknown,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),N,Y
5.2,10,19.1967,7,15.0,2,2,unknown,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),Y,Y
3.0,6,30.0331,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,Y
1.6,4,43.3973,6,,2,2,Common Rail Direct Diesel Injection,Turbocharged,XXXXX,N,N
2.5,4,35.3423,6,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,   ,N
2.4,4,33.3784,6,10.0,2,2,unknown,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),N,N
2.0,4,62.1908,1,15.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,XXXXX,N,N
2.0,4,40.174,6,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,,N
3.6,6,29.0899,9,10.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,XXXXX,N,N
3.6,6,25.6914,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,   ,N
2.0,4,32.7935,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
2.0,4,34.1212,6,10.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),N,N
,4,32.4189,8,10.0,2,2,unknown,Turbocharged,Automatic,N,Y
,4,34.8169,1,10.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Continuously Variable,N,N
2.0,4,42.8916,6,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,Semi-Automatic,,N
4.0,6,22.1436,5,10.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Automatic,N,N
3.8,8,23.7711,7,10.0,2,2,Multipoint/sequential fuel injection,Turbocharged,XXXXX,   ,N
4.0,8,25.2094,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
2.0,4,31.2741,6,10.0,2,2,unknown,Turbocharged,XXXXX,N,Y
,4,27.5571,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,,N
,4,33.2484,6,10.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Manual,N,Y
,6,30.9273,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,   ,Y
2.0,4,33.641,8,15.0,2,2,unknown,Turbocharged,Semi-Automatic,N,Y
,12,17.9524,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,Y
,4,33.4287,6,10.0,2,2,unknown,Naturally Aspirated,Manual,N,N
3.0,6,26.6049,8,10.0,2,2,unknown,Turbocharged,Semi-Automatic,N,Y
3.5,6,26.1272,6,15.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Semi-Automatic,N,N
2.0,4,32.7515,7,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),N,Y
1.5,4,47.1396,6,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,Manual,,N
,4,42.8024,7,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual,,N
5.3,8,24.1222,6,10.0,1,1,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,Y,N
4.4,8,24.8105,8,10.0,2,2,unknown,Turbocharged,Semi-Automatic,N,Y
1.6,4,43.303000000000004,6,15.0,2,2,unknown,Naturally Aspirated,Semi-Automatic,,N
5.6,8,20.8399,7,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,Semi-Automatic,N,Y
2.8,4,32.6893,6,,2,2,Common Rail Direct Diesel Injection,Turbocharged,XXXXX,,N
6.2,8,21.8108,8,10.0,1,1,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,Y,N
6.4,8,19.2787,8,10.0,1,1,unknown,Naturally Aspirated,Automatic,Y,N
3.5,6,20.6073,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,   ,N
2.3,4,32.7877,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
2.0,4,35.977,6,15.0,2,2,unknown,Naturally Aspirated,Semi-Automatic,,N
2.0,4,30.6586,6,15.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,Semi-Automatic,,N
,4,38.3043,8,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,,N
5.3,8,22.1503,8,10.0,1,1,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,Y,N
,6,28.8834,8,15.0,2,2,Spark Ignition direct & ported injection,Naturally Aspirated,XXXXX,N,N
,4,34.1949,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged+Supercharged,Semi-Automatic,N,N
3.0,6,29.3892,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,Y
,4,36.6504,6,15.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,Semi-Automatic,,N
,4,35.9891,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,N,N
1.4,4,35.5238,6,10.0,2,2,Multipoint/sequential fuel injection,Turbocharged,XXXXX,,N
,8,25.3158,8,15.0,2,2,unknown,Naturally Aspirated,Semi-Automatic,N,N
,6,29.2313,8,15.0,2,2,Spark Ignition direct & ported injection,Naturally Aspirated,Semi-Automatic,N,N
2.4,4,36.1299,8,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,   ,Y
2.0,4,42.4765,6,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,   ,N
,8,24.8105,8,10.0,2,2,unknown,Turbocharged,Semi-Automatic,N,Y
2.0,4,29.6884,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,N,N
2.0,4,33.7023,9,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,   ,N
,4,38.1647,7,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual,,N
1.8,4,34.4702,6,10.0,2,2,unknown,Turbocharged,Automated Manual,   ,N
,4,45.8337,6,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
2.0,4,49.5718,8,,2,2,unknown,Turbocharged,XXXXX,N,N
5.6,8,22.728,7,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,Semi-Automatic,N,Y
2.0,4,32.5269,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,N,N
2.0,4,32.3699,7,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),N,Y
2.0,4,34.89,8,10.0,2,2,unknown,Turbocharged,Semi-Automatic,N,Y
2.0,4,34.8705,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,N,N
3.0,6,24.4714,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automatic,,N
1.6,4,43.3973,6,,2,2,Common Rail Direct Diesel Injection,Turbocharged,XXXXX,   ,N
,4,44.216,8,15.0,2,2,unknown,Naturally Aspirated,Semi-Automatic,N,N
2.7,6,25.5591,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,N,N
3.0,6,31.7473,7,10.0,2,2,unknown,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),N,Y
3.3,6,25.6053,8,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,,N
2.5,4,38.8091,1,10.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Continuously Variable,N,N
,8,20.3733,6,10.0,1,1,Spark Ignition Direct Injection,Supercharged,XXXXX,Y,N
2.0,4,34.8169,1,10.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Continuously Variable,N,N
2.0,4,32.0958,9,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
1.4,4,38.1227,6,10.0,2,2,Multipoint/sequential fuel injection,Turbocharged,XXXXX,   ,N
2.0,4,33.4616,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),N,Y
5.0,8,23.9701,8,15.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,Semi-Automatic,   ,N
3.6,6,21.7336,6,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,   ,N
,4,35.5376,8,10.0,2,2,unknown,Turbocharged,Semi-Automatic,N,Y
2.0,4,32.2282,6,10.0,2,2,unknown,Turbocharged,Manual,   ,Y
,6,31.8558,8,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),   ,Y
3.5,6,28.7377,6,10.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,XXXXX,,Y
4.0,8,26.6603,8,10.0,2,2,unknown,Turbocharged,XXXXX,N,N
6.5,12,14.4817,7,15.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,XXXXX,Y,N
1.6,4,39.0203,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Manual,N,N
3.6,6,25.8785,9,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,   ,N
,6,26.908,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,Y
6.0,12,15.4573,7,10.0,2,1,Multipoint/sequential fuel injection,Turbocharged,Automated Manual,N,N
5.3,8,23.4402,8,10.0,1,1,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,,N
,6,26.69,8,10.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Automatic,N,N
,4,32.6818,6,15.0,2,2,Spark Ignition direct & ported injection,Turbocharged,XXXXX,   ,N
,4,31.5404,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),   ,Y
6.5,12,15.2395,7,15.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),Y,N
2.0,4,32.7579,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
2.0,4,47.913999999999994,7,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,N,N
2.0,4,35.0563,6,10.0,2,2,unknown,Turbocharged,Manual,N,Y
2.0,4,30.1956,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automatic,N,N
2.0,4,37.9763,6,10.0,2,2,unknown,Turbocharged,Semi-Automatic,N,Y
,6,27.0436,7,10.0,2,2,unknown,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),N,Y
2.0,4,36.5905,9,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
,6,23.6555,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
,4,30.6029,8,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,,N
3.0,6,26.6049,8,10.0,2,2,unknown,Turbocharged,Semi-Automatic,N,Y
6.2,8,24.6473,7,10.0,1,1,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,Y,N
2.4,4,36.8263,6,10.0,2,2,unknown,Naturally Aspirated,Selectable Continuously Variable (e.g. CVT with paddles),N,Y
2.0,4,33.5027,9,10.0,2,2,unknown,Turbocharged,Automatic,N,N
3.6,6,27.9588,9,10.0,2,2,unknown,Naturally Aspirated,XXXXX,N,N
3.0,6,26.305999999999997,9,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automatic,   ,N
